,Original,Type,Param1,Param2,Stat,Sign,Reported p-value
83017,"t(114) = 2.43, p < .05",t,114.0,,2.43,<,0.05
96306,"t   (69) = 1.67, p   < .05",t,69.0,,1.67,<,0.05
109728,"F(1, 38) = 34.99, p < .0001",f,1.0,38.0,34.99,<,0.0001
89824,"F(1, 118) = 23.70, p < .001",f,1.0,118.0,23.7,<,0.001
22294,"t(66) = 3.96, p < .001",t,66.0,,3.96,<,0.001
12008,"F(2, 146) = 23.26, p < .001",f,2.0,146.0,23.26,<,0.001
995,"F(1, 238) = 16.84, p < .001",f,1.0,238.0,16.84,<,0.001
123728,"F(1, 50) = 8.79, p < .01",f,1.0,50.0,8.79,<,0.01
182826,"F(1, 183) = 7.77, p < .01",f,1.0,183.0,7.77,<,0.01
149748,"F(5, 91) = 9.57, p < .0001",f,5.0,91.0,9.57,<,0.0001
151573,"F(1, 36) = 6.4, p = .016",f,1.0,36.0,6.4,=,0.016
17843,"F(1, 84) = 6.24,   p = .01",f,1.0,84.0,6.24,=,0.01
123961,"t(2857) = 2.15, p < .05",t,2857.0,,2.15,<,0.05
81235,"t(59) = 3.96, p < .001",t,59.0,,3.96,<,0.001
142747,"F(2, 86) = 11.69, p    < .01",f,2.0,86.0,11.69,<,0.01
134657,"F(1, 36) = 10.57, p < .01",f,1.0,36.0,10.57,<,0.01
169369,"t(15) = 4.85, p < .0005",t,15.0,,4.85,<,0.0005
121498,"t(1903) = 2.25, p < .05",t,1903.0,,2.25,<,0.05
